"","gene_list"
"479",11.1565078089295
"795",11.112478803398
"3933",10.6792538714506
"127534",10.4923555657937
"2628",10.1811385550101
"284904",10.072930111726
"1591",9.96976009192072
"6098",9.80888944277853
"23418",9.01853072485903
"344905",8.87776127869612
"129293",8.36470364605227
"2266",8.13172442122275
"84867",8.06134817224794
"825",8.02479251106523
"79782",7.82011891793565
"54097",7.75320846753978
"6564",7.56532573719487
"339",7.43479167873874
"165082",7.15346706079469
"5172",7.05017060135699
"2707",6.95968053818941
"22943",6.87001821062674
"221357",6.8583703163728
"4143",6.85322531173653
"55195",6.59074384186253
"200010",6.52564283666596
"1950",6.42073347272819
"151258",6.39671597576314
"9514",6.32099117446564
"55287",6.26395295008092
"6338",6.05162543826964
"5317",6.04169608387133
"202151",5.99159395105401
"3484",5.90800549456978
"2244",5.89934595837674
"140803",5.83465755648996
"11082",5.8018173528297
"660",5.73565523001782
"341392",5.71376332899807
"29943",5.61186190850143
"284340",5.60320026159439
"79098",5.44113494074243
"5743",5.41461630546098
"1356",5.39829675664698
"1510",5.30231030341438
"7481",5.21794598861825
"1543",5.19589069531926
"2001",5.18364023962359
"231",5.15996950183639
"2650",5.12904101895775
"6583",5.09245265124554
"3929",5.05411561854276
"55576",4.99679090369532
"85413",4.99479198818151
"10316",4.92043764943514
"1728",4.87376094163627
"53405",4.66443920814729
"146802",4.66075158612078
"3694",4.55374457460816
"374462",4.52520869644821
"9508",4.52439390299215
"6559",4.42356755195558
"146862",4.40711492981678
"59272",4.39944050967408
"2731",4.33321652121933
"1410",4.27694591693115
"1317",4.26271418374013
"760",4.23157176931137
"79820",4.22979182919269
"7429",4.20406665747786
"23650",4.19485111093572
"140738",4.16133171280381
"138065",4.13729429050363
"1390",4.13106073877572
"2810",4.11787658673087
"6340",4.10096156026725
"4635",4.05921728048495
"5732",4.04273093841315
"245973",4.00375591917863
"1491",3.96696394407431
"1439",3.96087218895655
"8999",3.7894353194737
"55796",3.76865075590494
"6446",3.72514107103243
"219855",3.72192493004058
"79674",3.70406565709285
"390916",3.70007302411285
"4861",3.66651563875624
"140809",3.61821740314516
"306",3.60994468989848
"80152",3.5824501163551
"4356",3.51051020065506
"10516",3.46441755333104
"54443",3.45308732141915
"27146",3.4416409363356
"10591",3.42972958739083
"2745",3.41539260625857
"9787",3.41494985202031
"11001",3.41240274365555
"245972",3.39807143157214
"344387",3.39119400551587
"27329",3.38117526561072
"4942",3.36827386771017
"8277",3.35686425835121
"3832",3.34652149033153
"2175",3.33945716988562
"55872",3.32039207518748
"4610",3.31777571820705
"9076",3.30496226829709
"338557",3.30480096988546
"204962",3.29921647884658
"51175",3.27345393841604
"10144",3.26469663450738
"57565",3.26222217585839
"83959",3.26172062375306
"10382",3.24811504225893
"51660",3.23412756732869
"387804",3.20616996749036
"379",3.19410539916899
"151647",3.18377664779776
"4322",3.16837114463613
"23767",3.15988740249258
"11004",3.12956298302655
"84708",3.11725615761749
"84879",3.09202554270378
"79075",3.0594411234861
"93550",3.0364057463808
"5268",3.03115522224807
"58",3.00710917736648
"79152",3.00460024835463
"899",2.99973416748122
"1852",2.99112823855647
"400224",2.98914504795548
"910",2.96299583506216
"26249",2.96160989683678
"55351",2.94284302820847
"55635",2.94063526346524
"10942",2.92738519845201
"699",2.89519985367049
"345275",2.86699141415177
"4897",2.85991494217463
"152789",2.84621350952351
"126767",2.84363597197837
"290",2.84332271141257
"23397",2.84057373777456
"5122",2.83820146561065
"6241",2.8266878499673
"259266",2.81095940775221
"7294",2.80987475146599
"84803",2.80314298168726
"8553",2.79627083418672
"1311",2.76004508586639
"90874",2.7482046357359
"100129480",2.73753329469768
"145773",2.73629330413587
"51704",2.71177420808751
"284217",2.69608751987298
"84930",2.6863028056498
"7153",2.67120756265159
"79071",2.66297207787373
"6579",2.65972180775367
"22987",2.65814252068477
"6286",2.65804276479006
"645",2.65629505337774
"445",2.64499105303398
"138162",2.63458627460699
"114805",2.63156497112353
"81610",2.62381590004224
"6549",2.61975253198461
"9033",2.6186558690332
"4634",2.596293119186
"9928",2.59494128376201
"57210",2.59492038938166
"1869",2.59451485232462
"5029",2.57457258445948
"3087",2.55733679912991
"523",2.55270320875483
"89778",2.54339232014179
"78991",2.54243936619464
"9055",2.52770792285583
"64151",2.51997282815025
"4998",2.51313959305094
"9833",2.50851852826198
"1062",2.49596129581246
"8318",2.49342421351955
"7295",2.48747176036695
"51514",2.47656772513083
"387712",2.46945335978847
"80206",2.46110130718658
"84263",2.4514192593537
"23105",2.44983958682268
"7272",2.44975720170955
"7498",2.44751188288917
"55500",2.44541208221203
"85465",2.44479401534773
"2",2.43946267955187
"26232",2.43819733097907
"10164",2.43162518243504
"554",2.40105249674014
"85414",2.39568133511581
"116255",2.39426226050078
"26227",2.39390489913989
"92949",2.39250683816391
"10403",2.39048600968475
"79400",2.38231811959876
"132",2.37883367418589
"11123",2.37423947259513
"22974",2.36706272747993
"54821",2.36694661556217
"9498",2.36611766205239
"9133",2.35829187592973
"157506",2.3569259660062
"4171",2.35073005013263
"10112",2.34789036575255
"79801",2.3466320933518
"1894",2.33911810203457
"286410",2.339026520348
"55388",2.33239582835793
"2491",2.33118953630401
"83988",2.3235343959038
"10103",2.31784907300742
"2674",2.28969528464686
"1002",2.28357817046784
"8614",2.28352764159669
"2327",2.27357308840743
"81621",2.26717469304668
"117247",2.26560199864156
"113220",2.26377766822199
"658",2.26299782986605
"51512",2.26174672034082
"8611",2.25989862678353
"6869",2.25044576660182
"64129",2.24833980790367
"11164",2.24709858293042
"4257",2.24359551552938
"3032",2.23786330447644
"9212",2.23748303455526
"53354",2.2343303085479
"5179",2.23243407461962
"84293",2.22479749550913
"4642",2.22096271403206
"152519",2.21433328820753
"332",2.21307305896104
"29968",2.20184807986673
"7504",2.19821679612404
"9244",2.19754702308448
"1063",2.19363918122506
"7422",2.18993620941545
"5358",2.17281782329829
"8727",2.16450853278039
"5596",2.16077377421234
"154141",2.15138558903375
"284486",2.1469452831561
"128239",2.14041193694405
"79682",2.13774519040179
"7113",2.13243740220984
"5768",2.12919714731571
"51267",2.12833308472012
"623",2.12754107061802
"129642",2.12711124068306
"30818",2.1270140517112
"79919",2.12688461981714
"2705",2.123561624251
"157313",2.12097056623941
"5157",2.11852262774995
"7345",2.10909175564712
"18",2.10217661677988
"347735",2.10024811408366
"5329",2.09223518895788
"160728",2.08950205195261
"81691",2.07547675085564
"80258",2.07349287854718
"3242",2.07313382187812
"112885",2.06992860388222
"79774",2.06431410219673
"3161",2.06127583621479
"3861",2.02765600657577
"167410",2.02349354368194
"767",2.01907719784291
"2277",2.01901586777121
"24137",2.01408976268598
"2115",2.00464691266392
"64105",1.99038824611427
"153129",1.98649314580615
"994",1.97671017986978
"890",1.96730052463453
"81624",1.96424424623447
"10509",1.95691800993126
"51559",1.95503902401621
"10129",1.95420458102786
"5063",1.95110454967562
"283849",1.94671515870941
"10626",1.94651068318517
"79971",1.94338772401818
"3572",1.93989210902386
"157869",1.93876991356879
"441631",1.93639197348505
"3018",1.92878623625167
"8532",1.92408273849134
"3397",1.91855758379093
"89932",1.91626613552014
"159",1.91376001980867
"3784",1.90232898926668
"3880",1.90159778284685
"93010",1.89600443254997
"1610",1.89477919783894
"9154",1.89295273628699
"80071",1.88863070745757
"56987",1.88734131158326
"7076",1.887163982508
"991",1.88091764662506
"28965",1.8766641961123
"57475",1.87155895150296
"2066",1.87115336535642
"5797",1.87088717997413
"4070",1.86209631350481
"346389",1.85661083435737
"113026",1.84416040488851
"64785",1.84346259489369
"79644",1.83255755525199
"11254",1.83122649286113
"147872",1.82951394790921
"5426",1.8227463755401
"26298",1.82166916288098
"10391",1.81481693247704
"2701",1.80966317136525
"81930",1.79971730955071
"5327",1.79295950651472
"9700",1.79116259709534
"114134",1.78922887419474
"64946",1.78740471852707
"7739",1.78106793782077
"220042",1.77504958472801
"1014",1.77390049298946
"65009",1.76854394471094
"2820",1.76711398725079
"5801",1.76373939911686
"5281",1.76144955827397
"80217",1.75343450506156
"284161",1.74263757431847
"1358",1.74164909829982
"1362",1.73978305120001
"23705",1.73715991096718
"54733",1.73262297746574
"340547",1.72780111633894
"9145",1.72368239137716
"8490",1.72301362643281
"51293",1.7165681102589
"672",1.71495751290128
"55010",1.71421478333793
"11332",1.71171753824701
"10418",1.70924828577769
"28231",1.7062928674769
"157570",1.69829574102349
"85439",1.69678616808585
"23261",1.69590735127389
"6491",1.69569626476288
"1763",1.69566963177317
"57709",1.69459872657854
"26031",1.69233713663025
"4175",1.69015961379361
"59345",1.68438895004718
"115004",1.67990752873053
"5603",1.67909942414711
"79755",1.66963330926546
"25774",1.6693315486508
"130340",1.66450344224007
"1803",1.66394101073847
"1800",1.6567534463673
"9585",1.65395239792429
"157",1.6475924650523
"50487",1.64344904162122
"91687",1.63712203998008
"2178",1.63288279318013
"55890",1.6274206639608
"9358",1.6270778214937
"2034",1.62403830891341
"2889",1.62201739648535
"5091",1.61831741836278
"2006",1.6135959402966
"1767",1.61323520789681
"166348",1.61197271589489
"145581",1.60920304687368
"84239",1.60709933763368
"23594",1.60487006012023
"54566",1.59624188476444
"2526",1.58652073544903
"3030",1.57902950633139
"124359",1.57290697936806
"57082",1.57136726130657
"3835",1.569362855824
"762",1.5690856361622
"3897",1.56591558978593
"10468",1.56572012135504
"214",1.55433523674473
"572",1.55410729494936
"5818",1.55077690797085
"6948",1.54722595092291
"541468",1.54418697473124
"91461",1.54325971674812
"6678",1.54277162529358
"220",1.54269473125376
"63901",1.54258616059483
"81618",1.539166809175
"221481",1.5312153812957
"79180",1.53084020192324
"80179",1.52855784057881
"57697",1.51956104794318
"8934",1.51786843457132
"3705",1.51766670534139
"7004",1.50751795141473
"133418",1.50745635724856
"56154",1.50654730024048
"79836",1.5062676607212
"54873",1.50531849025964
"90332",1.50469831446205
"1999",1.50165598606394
"57535",1.50064033511921
"5322",1.49640103261728
"9168",1.49203111554002
"10966",1.49179514420119
"23075",1.48847040751714
"4703",1.48577853699077
"8646",1.4832088744232
"1843",1.48268233212344
"57189",1.48183644476734
"201973",1.47774422477479
"57683",1.47545237532205
"10105",1.47408431074693
"55502",1.47115353711666
"54997",1.47067662483502
"21",1.46433461222296
"9903",1.46257666909829
"84246",1.46078866841809
"10721",1.45993815336221
"29128",1.45487133496867
"6712",1.45006187677937
"55034",1.44862246849118
"23428",1.44684752543982
"113",1.44555996943226
"54069",1.43896398885081
"401541",1.43783219973757
"4147",1.43542525330931
"10045",1.43054972552882
"340485",1.42471146771032
"80119",1.42389196194093
"282991",1.4238158533766
"9124",1.41847867576675
"1303",1.41565806818126
"7086",1.41563301033624
"440689",1.41430830700186
"83990",1.4090645887552
"10451",1.40532421868208
"60370",1.4021493725794
"59349",1.39925878678812
"10406",1.39901989223372
"4920",1.3925830323713
"100507650",1.39143151657193
"2177",1.3863972800671
"28984",1.38499204496873
"10863",1.38296578824038
"201625",1.38235060249355
"6790",1.38171003342656
"7852",1.38153296518749
"25937",1.38114227319767
"284069",1.38096003646519
"8538",1.38084448846207
"8321",1.37485358462646
"57863",1.37464790142073
"57552",1.37454555252698
"387597",1.3730667642817
"5740",1.3720370649537
